记录时间：2019-03-05 09:54:42,001 详细信息：文件Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-05 09:54:42,006 详细信息：文件:Delta_invoice_20190304130722.csv-第2行供应商编码:A001发票代码:INV发票号码:46589已经存在于MAIN_EDI_DATA表中

记录时间：2019-03-05 09:54:42,011 详细信息：文件:Delta_invoice_20190304130722.csv-第2行供应商编码:A001发票代码:INV发票号码:46589已经存在于MAIN_EDI_DATA表中
文件:Delta_invoice_20190304130722.csv-第3行供应商编码:A002发票代码:INV发票号码:65893已经存在于MAIN_EDI_DATA表中

记录时间：2019-03-05 09:54:42,014 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 09:54:42,042 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：2条
记录时间：2019-03-05 09:54:42,045 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：2条
记录时间：2019-03-05 09:54:42,050 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:54:42,054 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 09:58:38,425 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 09:58:40,554 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 09:58:40,560 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 09:58:40,568 详细信息：执行主数据同步
记录时间：2019-03-05 09:58:40,631 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 09:58:40,642 详细信息：文件:Delta_invoice_20190304130722 - 副本.csv-第3行供应商编码:A002发票代码:INV发票号码:65793已经存在于MAIN_EDI_DATA表中
记录时间：2019-03-05 09:58:40,646 详细信息：文件Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-05 09:58:40,649 详细信息：文件:Delta_invoice_20190304130722.csv-第3行供应商编码:A002发票代码:INV发票号码:65893已经存在于MAIN_EDI_DATA表中
记录时间：2019-03-05 09:58:40,652 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 09:58:40,672 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：2条
记录时间：2019-03-05 09:58:40,675 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：2条
记录时间：2019-03-05 09:58:40,723 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 09:58:40,728 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-05 10:02:34,540 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-05 10:02:38,908 详细信息：获得手动触发启动参数：59
记录时间：2019-03-05 10:02:38,915 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-05 10:02:38,923 详细信息：执行主数据同步
记录时间：2019-03-05 10:02:38,982 详细信息：执行EDI行主数据同步
记录时间：2019-03-05 10:02:38,998 详细信息：文件Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-05 10:02:39,006 详细信息：文件Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-05 10:02:39,027 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：2条
记录时间：2019-03-05 10:02:39,031 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：2条
记录时间：2019-03-05 10:02:39,035 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-05 10:02:39,039 详细信息：--------------------------------程序结束--------------------------------

